排名,学校名称,省市,学校类型,是否双一流,是否985,是否211,总分,办学层次,人才培养,办学资源,国际竞争,学科水平,师资力量,服务社会,科学研究,重大项目,高端人才
1,清华大学 ,北京,综合,双一流,985,211,1004.1,37.5,328.6,50,91.8,77.1,53.7,46.9,105.7,124,88.8
2,北京大学 ,北京,综合,双一流,985,211,910.5,35,309.7,33.8,85.1,74.3,54,17.3,101.2,108.9,91.2
3,浙江大学 ,浙江,综合,双一流,985,211,822.9,35.9,287.8,28.8,63.1,67.2,51.1,30.7,100,88.5,69.6
4,上海交通大学 ,上海,综合,双一流,985,211,778.6,35.7,261.7,29.6,49.5,60.4,52.4,27.8,104.5,90.7,66.3
5,复旦大学 ,上海,综合,双一流,985,211,712.4,36.5,253.9,20.8,55.7,61.9,51.1,20.5,84.3,61.8,65.8
6,南京大学 ,江苏,综合,双一流,985,211,676.2,37.7,271,10.4,35.2,56.6,50.1,13.8,74.1,67.1,60.3
7,中国科学技术大学 ,安徽,理工,双一流,985,211,608.6,40,228.7,15.6,54.5,40.4,50.4,13.2,74.5,39.2,52.2
8,华中科技大学 ,湖北,综合,双一流,985,211,606.2,32.2,247.9,20.1,36.1,43.6,50.4,18.3,69.7,50.3,37.7
9,武汉大学 ,湖北,综合,双一流,985,211,599.1,31.8,257.2,13.8,38.8,48.7,50,9.3,64.9,45.2,39.3
10,西安交通大学 ,陕西,综合,双一流,985,211,572.6,34.2,258,17.7,26.7,39.4,51.2,18.8,59.9,40.3,26.4
11,中山大学 ,广东,综合,双一流,985,211,570,31.1,207.8,16.8,43,48.2,51.3,8.9,90.2,29.7,42.9
12,四川大学 ,四川,综合,双一流,985,211,546.9,31.5,230.3,11.4,28.4,41.5,48,23.3,69.9,33.4,29.2
13,哈尔滨工业大学 ,黑龙江,理工,双一流,985,211,544.2,32.7,228.3,24.4,32.7,35.5,50.9,20.3,58.9,36.9,23.5
14,北京航空航天大学 ,北京,理工,双一流,985,211,543.5,33.4,224.5,16.8,26,36.8,49.4,19.1,52.9,58.3,26.4
15,东南大学 ,江苏,综合,双一流,985,211,532.3,35.4,228.9,14.5,28.6,43.1,49.6,19.1,51.4,40.6,20.9
16,北京理工大学 ,北京,理工,双一流,985,211,529.3,33.4,212.8,14.9,38.8,29.2,47.4,28.8,54.6,48.1,21.3
17,同济大学 ,上海,综合,双一流,985,211,527,33.2,221.4,14.7,21.4,39.2,48.2,15.8,63.5,38.8,30.9
18,中国人民大学 ,北京,综合,双一流,985,211,526.3,34.7,243.1,13.7,13.2,48.9,50.3,1.3,40.4,43.6,37.2
19,北京师范大学 ,北京,师范,双一流,985,211,523.4,33,226.4,17.4,31,45.5,50.4,4.6,47.3,33.2,34.7
20,南开大学 ,天津,综合,双一流,985,211,490.4,31.7,224,9.2,34.4,31.7,48.7,5.2,46.2,28.2,30.9
21,天津大学 ,天津,理工,双一流,985,211,480.5,33,206.6,12.4,32.8,32.3,48.1,17.4,46.7,25.2,25.9
